id,review,term,aspect,sentiment,term_from,term_to
551,You will find yourself returning quite often.,NULL,RESTAURANT#GENERAL,positive,0,0
552,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,food,FOOD#QUALITY,positive,64,68
553,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,service,SERVICE#GENERAL,positive,80,87
554,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,atmosphere,AMBIENCE#GENERAL,positive,102,112
555,No gimmicks here -- the food speaks for itself in its freshness and preparation.,food,FOOD#QUALITY,positive,24,28
556,The dining room is quietly elegant with no music to shout over -- how refreshing!,dining room,AMBIENCE#GENERAL,positive,4,15
557,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",service,SERVICE#GENERAL,positive,4,11
558,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",staff,SERVICE#GENERAL,positive,50,55
559,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",meal,FOOD#QUALITY,positive,65,69
560,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",restaurant,AMBIENCE#GENERAL,positive,80,90
561,Beautiful experience.,NULL,RESTAURANT#GENERAL,positive,0,0
562,The view is breathtaking the service is top notch... the ambiance is wonderfull.,view,LOCATION#GENERAL,positive,4,8
563,The view is breathtaking the service is top notch... the ambiance is wonderfull.,service,SERVICE#GENERAL,positive,29,36
564,The view is breathtaking the service is top notch... the ambiance is wonderfull.,ambiance,AMBIENCE#GENERAL,positive,57,65
565,The staff offers impeccable service.,staff,SERVICE#GENERAL,positive,4,9
566,I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,Lobster Bisque,FOOD#STYLE_OPTIONS,positive,6,20
567,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,New England Chowder,FOOD#QUALITY,positive,21,40
568,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,Lobster Bisque,FOOD#QUALITY,positive,92,106
569,It was divine melts in your mouth.,NULL,FOOD#QUALITY,positive,0,0
570,My boyfriend had Prime Rib it was good .,Prime Rib,FOOD#QUALITY,positive,17,26
571,We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough. ,bottles of Korbett,DRINKS#STYLE_OPTIONS,positive,69,87
572,It's cuz it's so good you need to taste it!!! ,NULL,FOOD#QUALITY,positive,0,0
573,All in all we're already coming up with excuses to go ahead really soon in the next few wks!!!!,NULL,RESTAURANT#GENERAL,positive,0,0
574,My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,food,FOOD#QUALITY,positive,91,95
575,If you like spicy food get the chicken vindaloo.,chicken vindaloo,FOOD#QUALITY,positive,31,47
576,It's very spicy but not offensive.,NULL,FOOD#QUALITY,positive,0,0
577,We will definitely go back.,NULL,RESTAURANT#GENERAL,positive,0,0
578,Go to Volare for 1st class service and terrific food.,service,SERVICE#GENERAL,positive,27,34
579,Go to Volare for 1st class service and terrific food.,food,FOOD#QUALITY,positive,48,52
580,The portions are large and the servers always surprise us with a different starter.,portions,FOOD#STYLE_OPTIONS,positive,4,12
581,The portions are large and the servers always surprise us with a different starter.,servers,SERVICE#GENERAL,positive,31,38
582,The wine list is excellent.,wine list,DRINKS#STYLE_OPTIONS,positive,4,13
583,The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,food,FOOD#QUALITY,positive,4,8
584,The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,selection of wines,DRINKS#STYLE_OPTIONS,positive,131,149
585,The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,Chef's tasting menu,FOOD#QUALITY,positive,49,68
586,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",service,SERVICE#GENERAL,positive,75,82
587,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",place,AMBIENCE#GENERAL,negative,4,9
588,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",place,RESTAURANT#MISCELLANEOUS,positive,4,9
589,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,food,FOOD#PRICES,negative,4,8
590,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,prixe fixe tasting menu,FOOD#QUALITY,positive,32,55
591,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,prixe fixe tasting menu,FOOD#PRICES,positive,32,55
592,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,NULL,SERVICE#GENERAL,positive,0,0
593,Please be aware that it's CASH or AMEX only!,NULL,RESTAURANT#MISCELLANEOUS,neutral,0,0
594,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",food,FOOD#QUALITY,neutral,104,108
595,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",lemon salad,FOOD#QUALITY,negative,26,37
596,The menu is very limited - i think we counted 4 or 5 entrees.,menu,FOOD#STYLE_OPTIONS,negative,4,8
597,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,FOOD#QUALITY,negative,24,40
598,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",decor,AMBIENCE#GENERAL,neutral,4,9
599,Problem is nothing at Prune is particularly memorable.,Prune,RESTAURANT#GENERAL,negative,22,27
600,No plans to return anytime soon.,NULL,RESTAURANT#GENERAL,negative,0,0
601,This place is so much fun.,place,AMBIENCE#GENERAL,positive,5,10
602,Our family never expected such incredible entertainment in a restaurant.,restaurant,RESTAURANT#GENERAL,positive,61,71
603,Our food was great too!,food,FOOD#QUALITY,positive,4,8
604,And really large portions.,portions,FOOD#STYLE_OPTIONS,positive,17,25
605,The staff was the friendliest that have seen in New York.,staff,SERVICE#GENERAL,positive,4,9
606,We will go back every time we are in the City.,NULL,RESTAURANT#GENERAL,positive,0,0
607,If you want something really different than try Jekyll and Hyde.,Jekyll and Hyde,RESTAURANT#GENERAL,positive,48,63
608,It is a lot of fun with live entertainment and all kinds of Disney type special effects.,NULL,AMBIENCE#GENERAL,positive,0,0
609,The food was pretty tradional but it was hot and good with large portions.,food,FOOD#QUALITY,positive,4,8
610,The food was pretty tradional but it was hot and good with large portions.,portions,FOOD#STYLE_OPTIONS,positive,65,73
611,I highly recommend it.,NULL,RESTAURANT#GENERAL,positive,0,0
612,The place is a lot of fun.,place,AMBIENCE#GENERAL,positive,4,9
613,My six year old loved it.,NULL,RESTAURANT#GENERAL,positive,0,0
614,The characters really make for an enjoyable experience.,characters,AMBIENCE#GENERAL,positive,4,14
615,"The food however, is what one might expect.",food,FOOD#QUALITY,negative,4,8
616,It is very overpriced and not very tasty.,NULL,FOOD#QUALITY,negative,0,0
617,It is very overpriced and not very tasty.,NULL,FOOD#PRICES,negative,0,0
618,"However, I think Jeckll and Hydes t is one of those places that is fun to do once.",Jeckll and Hydes,RESTAURANT#GENERAL,positive,17,33
619,We had a good time.,NULL,RESTAURANT#GENERAL,positive,0,0
620,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,NULL,SERVICE#GENERAL,negative,0,0
621,Service was slow had to wait to order and get food although not crowded.,Service,SERVICE#GENERAL,negative,0,7
622,Drinks way over priced.,Drinks,DRINKS#PRICES,negative,0,6
623,Food was good not great not worth the wait or another visit,Food,FOOD#QUALITY,neutral,0,4
624,Food was good not great not worth the wait or another visit,NULL,RESTAURANT#GENERAL,negative,0,0
625,Great pizza for lunch place.,pizza,FOOD#QUALITY,positive,6,11
626,Service was quick.,Service,SERVICE#GENERAL,positive,0,7
627,The pizza was great.,pizza,FOOD#QUALITY,positive,4,9
628,And it was quick which is very important.,NULL,SERVICE#GENERAL,positive,0,0
629,Have the iced tea.,iced tea,DRINKS#QUALITY,positive,9,17
630,It was wonderful.,NULL,DRINKS#QUALITY,positive,0,0
631,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",fish,FOOD#QUALITY,positive,63,67
632,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",service,SERVICE#GENERAL,positive,78,85
633,Delivery is fast too.,Delivery,SERVICE#GENERAL,positive,0,8
634,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",service,SERVICE#GENERAL,positive,15,22
635,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",seating,SERVICE#GENERAL,positive,29,36
636,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",Delivery,SERVICE#GENERAL,positive,43,51
637,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",sushi,FOOD#QUALITY,positive,63,68
638,A little overpriced but worth it once you take a bite.,NULL,FOOD#PRICES,negative,0,0
639,A little overpriced but worth it once you take a bite.,NULL,FOOD#QUALITY,positive,0,0
640,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,bagel,FOOD#QUALITY,positive,63,68
641,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",bagels,FOOD#QUALITY,positive,4,10
642,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",bagels,FOOD#STYLE_OPTIONS,positive,4,10
643,They have a huge selection of different cream cheeses and all of their salads are great.,salads,FOOD#QUALITY,positive,71,77
644,They have a huge selection of different cream cheeses and all of their salads are great.,cream cheeses,FOOD#STYLE_OPTIONS,positive,40,53
645,The lox is always fresh too.,lox,FOOD#QUALITY,positive,4,7
646,Highly recommended to all!,NULL,RESTAURANT#GENERAL,positive,0,0
647,Not impressed with the food.,food,FOOD#QUALITY,negative,23,27
648,Prices too high for this cramped and unappealing resturant.,resturant,RESTAURANT#PRICES,negative,49,58
649,Prices too high for this cramped and unappealing resturant.,resturant,AMBIENCE#GENERAL,negative,49,58
650,Zero ambiance to boot.,ambiance,AMBIENCE#GENERAL,negative,5,13
651,I thought this place was totally overrated.,place,RESTAURANT#GENERAL,negative,15,20
652,Everything we had was good or ok....but definitely nothing great.,NULL,RESTAURANT#GENERAL,neutral,0,0
653,"The ambience was nice, but service wasn't so great.",ambience,AMBIENCE#GENERAL,positive,4,12
654,"The ambience was nice, but service wasn't so great.",service,SERVICE#GENERAL,negative,27,34
655,"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.",NULL,RESTAURANT#GENERAL,negative,0,0
656,"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.",NULL,RESTAURANT#PRICES,negative,0,0
657,This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,Shabu-Shabu Restaurant,RESTAURANT#GENERAL,positive,17,39
658,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,food,FOOD#QUALITY,positive,55,59
659,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,feel,AMBIENCE#GENERAL,positive,68,72
660,Thius is a must for anyone who loves Shabu-Shabu.,Shabu-Shabu,FOOD#QUALITY,positive,37,48
661,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",atmosphere,AMBIENCE#GENERAL,positive,4,14
662,The owner and staff are all Japanese as well and that adds to the entire ambiance.,owner,RESTAURANT#MISCELLANEOUS,positive,4,9
663,The owner and staff are all Japanese as well and that adds to the entire ambiance.,staff,RESTAURANT#MISCELLANEOUS,positive,14,19
664,The owner and staff are all Japanese as well and that adds to the entire ambiance.,ambiance,AMBIENCE#GENERAL,positive,73,81
665,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",menu,FOOD#STYLE_OPTIONS,negative,27,31
666,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",NULL,FOOD#QUALITY,positive,0,0
667,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",NULL,FOOD#STYLE_OPTIONS,positive,0,0
668,I must give it Yon out of Yon stars!,NULL,RESTAURANT#GENERAL,positive,0,0
669,Taxan delicious!,Taxan,FOOD#QUALITY,positive,0,5
670,"This restaurant was recommended by a local...as a matter of fact, he made the reservation for us and said we would not be disappointed!",NULL,RESTAURANT#GENERAL,positive,5,15
671,The prices were CHEAP compared to the quality of service and food.,NULL,RESTAURANT#PRICES,positive,0,0
672,The prices were CHEAP compared to the quality of service and food.,service,SERVICE#GENERAL,positive,49,56
673,The prices were CHEAP compared to the quality of service and food.,food,FOOD#QUALITY,positive,61,65
674,"We liked it so much, that we will always make it a point to dine here when we visit New York.",NULL,RESTAURANT#GENERAL,positive,0,0
675,The location and ambience is Ok but the food is what makes up for it.,location,LOCATION#GENERAL,neutral,4,12
676,The location and ambience is Ok but the food is what makes up for it.,ambience,AMBIENCE#GENERAL,neutral,17,25
677,The location and ambience is Ok but the food is what makes up for it.,food,FOOD#QUALITY,positive,40,44
678,There is a lot of variety even for people who eat vegetarian like me.,NULL,FOOD#STYLE_OPTIONS,positive,0,0
679,Try green curry with vegetables.,green curry with vegetables,FOOD#QUALITY,positive,4,31
680,"The quantity is also very good, you will come out satisfied.",NULL,FOOD#STYLE_OPTIONS,positive,0,0
681,"The service is ok, some of the people didn't get what they asked for.",service,SERVICE#GENERAL,neutral,4,11
682,I was there on sat. for my birthday and we had an excellent time.,NULL,RESTAURANT#GENERAL,positive,0,0
683,I had the best ravioli ever.,ravioli,FOOD#QUALITY,positive,15,22
684,The wine the service was very good too.,wine,DRINKS#QUALITY,positive,4,8
685,The wine the service was very good too.,service,SERVICE#GENERAL,positive,13,20
686,Moderate prices.,NULL,RESTAURANT#PRICES,neutral,0,0
687,A little noise but I think that was because of our party!,NULL,AMBIENCE#GENERAL,neutral,0,0
688,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,trattoria,AMBIENCE#GENERAL,positive,25,34
689,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,trattoria,RESTAURANT#GENERAL,positive,25,34
690,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",food,FOOD#QUALITY,positive,4,8
691,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",dishes,FOOD#QUALITY,positive,72,78
692,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",specials,FOOD#QUALITY,positive,33,41
693,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",regular menu-fare,FOOD#QUALITY,positive,49,66
694,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",parmesean porcini souffle,FOOD#QUALITY,positive,17,42
695,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",lamb glazed with balsamic vinegar,FOOD#QUALITY,positive,50,83
696,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",candle-light,AMBIENCE#GENERAL,positive,49,61
697,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",food,FOOD#QUALITY,positive,63,67
698,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",service,SERVICE#GENERAL,positive,80,87
699,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",tables,AMBIENCE#GENERAL,negative,13,19
700,A guaranteeed delight!,NULL,RESTAURANT#GENERAL,positive,0,0
701,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",food,FOOD#QUALITY,positive,99,103
702,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",wine,DRINKS#QUALITY,positive,108,112
703,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",food,FOOD#PRICES,positive,99,103
704,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",wine,DRINKS#PRICES,positive,108,112
705,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",marinara/arrabiatta sauce,FOOD#QUALITY,positive,19,44
706,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",mozzarella en Carozza,FOOD#QUALITY,positive,50,71
707,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",NULL,FOOD#QUALITY,positive,0,0
708,Check out the secret back room.,back room,AMBIENCE#GENERAL,positive,21,30
709,I pray it stays open forever.,NULL,RESTAURANT#GENERAL,positive,0,0
710,Thank You Emilio.,Emilio,RESTAURANT#GENERAL,positive,10,16
711,"I found the food, service and value exceptional everytime I have been there.",food,FOOD#QUALITY,positive,12,16
712,"I found the food, service and value exceptional everytime I have been there.",service,SERVICE#GENERAL,positive,18,25
713,"I found the food, service and value exceptional everytime I have been there.",NULL,RESTAURANT#PRICES,positive,0,0
714,The food was authentic.,food,FOOD#QUALITY,positive,4,8
715,I felt as though I were eating in Paris.,NULL,FOOD#QUALITY,positive,0,0
716,The service was excellent - friendly and attentive.,service,SERVICE#GENERAL,positive,4,11
717,The prices are wonderfully low.,NULL,RESTAURANT#PRICES,positive,0,0
718,Very good wine choices.,wine choices,DRINKS#STYLE_OPTIONS,positive,10,22
719,Who has room for Cheesesticks with the best pizza in NYC!,pizza,FOOD#QUALITY,positive,44,49
720,Get the pepperoni - YUM - and a family style salad.,pepperoni,FOOD#QUALITY,positive,8,17
721,Get the pepperoni - YUM - and a family style salad.,family style salad,FOOD#QUALITY,positive,32,50
722,Great staff.,staff,SERVICE#GENERAL,positive,6,11
723,Always great service!,service,SERVICE#GENERAL,positive,13,20
724,I go twice a month!,NULL,RESTAURANT#GENERAL,positive,0,0
725,Fantastic!,NULL,RESTAURANT#GENERAL,positive,0,0
726,"The food is good, I can't lie.",food,FOOD#QUALITY,positive,4,8
727,But the staff was so horrible to us.,staff,SERVICE#GENERAL,negative,8,13
728,The hostess and the waitress were incredibly rude and did everything they could to rush us out.,hostess,SERVICE#GENERAL,negative,4,11
729,The hostess and the waitress were incredibly rude and did everything they could to rush us out.,waitress,SERVICE#GENERAL,negative,20,28
730,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,waitress,SERVICE#GENERAL,negative,40,48
731,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",place,RESTAURANT#PRICES,negative,5,10
732,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",food,FOOD#QUALITY,positive,35,39
733,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",service,SERVICE#GENERAL,negative,61,68
734,Save yourself the time and trouble and skip this one!,NULL,RESTAURANT#GENERAL,negative,0,0
735,Amma is nothing special.,Amma,RESTAURANT#GENERAL,neutral,0,4
736,I ate here a week ago and found most dishes average at best and too expensive.,dishes,FOOD#QUALITY,negative,37,43
737,I ate here a week ago and found most dishes average at best and too expensive.,dishes,FOOD#PRICES,negative,37,43
738,Will not be back.,NULL,RESTAURANT#GENERAL,negative,0,0
739,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",vegetarian dishes,FOOD#QUALITY,negative,31,48
740,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",non-veg selections,FOOD#QUALITY,positive,89,107
741,Decor is nice though service can be spotty.,Decor,AMBIENCE#GENERAL,positive,0,5
742,Decor is nice though service can be spotty.,service,SERVICE#GENERAL,negative,21,28
743,This place is always packed.,place,RESTAURANT#MISCELLANEOUS,neutral,5,10
744,"Most importantly, food is excellent.",food,FOOD#QUALITY,positive,18,22
745,Try the sea bass.,sea bass,FOOD#QUALITY,positive,8,16
746,Highly recommended.,NULL,RESTAURANT#GENERAL,positive,0,0
747,First of all Dal Bukhara Rocks.,Dal Bukhara,FOOD#QUALITY,positive,13,24
748,I am happy i did the food was awsome.,food,FOOD#QUALITY,positive,21,25
749,JUST AWSOME.,NULL,FOOD#QUALITY,positive,0,0
750,and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,FOOD#QUALITY,positive,54,60
751,and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,FOOD#QUALITY,positive,8,19
752,but overall i give it a 10,NULL,RESTAURANT#GENERAL,positive,0,0
753,10,NULL,RESTAURANT#GENERAL,positive,0,0
754,Haru on Park S is simply disgusting.,Haru on Park S,RESTAURANT#GENERAL,negative,0,14
755,The fish was not fresh and the rice tasted old and stale.,fish,FOOD#QUALITY,negative,4,8
756,The fish was not fresh and the rice tasted old and stale.,rice,FOOD#QUALITY,negative,31,35
757,"Quite frankly, this is some of the worst sushi I have ever tried.",sushi,FOOD#QUALITY,negative,41,46
758,Will never be back.,NULL,RESTAURANT#GENERAL,negative,0,0
759,honestly the worst sushi my husband and i had in our entire lives.,sushi,FOOD#QUALITY,negative,19,24
760,not sure why this restaurant would be rated that highly.,restaurant,RESTAURANT#GENERAL,negative,18,28
761,the all-u-can-eat sushi is definitely in very poor quality.,all-u-can-eat sushi,FOOD#QUALITY,negative,4,23
762,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",menu,FOOD#STYLE_OPTIONS,negative,8,12
763,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",ingredients,FOOD#QUALITY,negative,26,37
764,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",fish,FOOD#STYLE_OPTIONS,negative,53,57
765,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",rice,FOOD#STYLE_OPTIONS,negative,70,74
766,"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ",soy sauce,FOOD#QUALITY,negative,56,65
767,"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ",rice,FOOD#QUALITY,negative,108,112
768,the waitstaffs are nice though.,waitstaffs,SERVICE#GENERAL,positive,4,14
769,wont come back again for sure!,NULL,RESTAURANT#GENERAL,negative,0,0
770,I have been to Roth's twice and both times were very disappointing.,Roth's,RESTAURANT#GENERAL,negative,15,21
771,"Both times I was extremely dissappointed by the service, which was boarderline rude.",service,SERVICE#GENERAL,negative,48,55
772,They wouldnt even let me finish my glass of wine before offering another.,NULL,SERVICE#GENERAL,negative,0,0
773,Much of the time it seems like they do not care about you.,NULL,SERVICE#GENERAL,negative,0,0
774,"The dinner was ok, nothing I would have again.",dinner,FOOD#QUALITY,negative,4,10
775,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",eggs benedict,FOOD#QUALITY,negative,12,25
776,This was a great surprise.,NULL,RESTAURANT#GENERAL,positive,0,0
777,With the theater 2 blocks away we had a delicious meal in a beautiful room.,meal,FOOD#QUALITY,positive,50,54
778,With the theater 2 blocks away we had a delicious meal in a beautiful room.,room,AMBIENCE#GENERAL,positive,70,74
779,With the theater 2 blocks away we had a delicious meal in a beautiful room.,NULL,LOCATION#GENERAL,positive,0,0
780,The service was attentive.,service,SERVICE#GENERAL,positive,4,11
781,I look forward to eating here again,NULL,RESTAURANT#GENERAL,positive,0,0
782,Planet Thai is great!,Planet Thai,RESTAURANT#GENERAL,positive,0,11
783,"We love the food, drinks, and atmosphere!",food,FOOD#QUALITY,positive,12,16
784,"We love the food, drinks, and atmosphere!",drinks,DRINKS#QUALITY,positive,18,24
785,"We love the food, drinks, and atmosphere!",atmosphere,AMBIENCE#GENERAL,positive,30,40
786,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",svc,SERVICE#GENERAL,negative,4,7
787,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",restaurant,RESTAURANT#GENERAL,positive,79,89
788,"Try the Pad Thai, it's fabulous and their prices are so cheap!",Pad Thai,FOOD#QUALITY,positive,8,16
789,"Try the Pad Thai, it's fabulous and their prices are so cheap!",NULL,RESTAURANT#PRICES,positive,0,0
790,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",portions,FOOD#STYLE_OPTIONS,positive,42,50
791,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",food,FOOD#QUALITY,positive,68,72
792,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",NULL,RESTAURANT#PRICES,positive,0,0
793,"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",NULL,SERVICE#GENERAL,negative,0,0
794,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",sandwiches,FOOD#STYLE_OPTIONS,negative,10,20
795,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",sandwiches,FOOD#PRICES,negative,10,20
796,"Overall, not worth the money.",NULL,RESTAURANT#GENERAL,negative,0,0
797,"Overall, not worth the money.",NULL,RESTAURANT#PRICES,negative,0,0
798,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",atmosphere,AMBIENCE#GENERAL,positive,15,25
799,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",NULL,RESTAURANT#GENERAL,negative,0,0
800,Chennai Garden is my favorite Indian restaurant in the city.,Chennai Garden,RESTAURANT#GENERAL,positive,0,14
801,They have authentic Indian at amazin prices.,Indian,FOOD#QUALITY,positive,20,26
802,They have authentic Indian at amazin prices.,Indian,FOOD#PRICES,positive,20,26
803,This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.,dishes,FOOD#STYLE_OPTIONS,negative,49,55
804,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,AMBIENCE#GENERAL,negative,4,9
805,It's a rather cramped and busy restaurant and it closes early.,restaurant,RESTAURANT#MISCELLANEOUS,negative,31,41
806,It's a rather cramped and busy restaurant and it closes early.,restaurant,AMBIENCE#GENERAL,negative,31,41
807,Patroon features a nice cigar bar and has great staff.,cigar bar,AMBIENCE#GENERAL,positive,24,33
808,Patroon features a nice cigar bar and has great staff.,staff,SERVICE#GENERAL,positive,48,53
809,The food is tasty and portion sizes are appropriate.,food,FOOD#QUALITY,positive,4,8
810,The food is tasty and portion sizes are appropriate.,portion sizes,FOOD#STYLE_OPTIONS,positive,22,35
811,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,restaurant,RESTAURANT#MISCELLANEOUS,positive,15,25
812,Not a great place for family or general dining.,place,RESTAURANT#MISCELLANEOUS,negative,12,17
813,LLOOVVE THIS PLACE.,PLACE,RESTAURANT#GENERAL,positive,13,18
814,Food is excellent.,Food,FOOD#QUALITY,positive,0,4
815,Fish is so very fresh.,Fish,FOOD#QUALITY,positive,0,4
816,Waitstaff are very friendly.,Waitstaff,SERVICE#GENERAL,positive,0,9
817,Love YUKA.,YUKA,RESTAURANT#GENERAL,positive,5,9
818,Mermaid Inn is an overall good restaurant with really good seafood.,seafood,FOOD#QUALITY,positive,59,66
819,Mermaid Inn is an overall good restaurant with really good seafood.,Mermaid Inn,RESTAURANT#GENERAL,positive,0,11
820,The menu is limited but almost all of the dishes are excellent.,menu,FOOD#STYLE_OPTIONS,negative,4,8
821,The menu is limited but almost all of the dishes are excellent.,dishes,FOOD#QUALITY,positive,42,48
822,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,lobster sandwich,FOOD#QUALITY,positive,4,20
823,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,spaghetti with Scallops and Shrimp,FOOD#QUALITY,positive,37,71
824,The service is good and ambience is good for a date or group outing.,service,SERVICE#GENERAL,positive,4,11
